chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
0,1,0,0,0,0,0,0,1,0.46160988139973824,0.46254334238560807,51.384868752501276
0,1,0,0,0,0,1,0,1,0.874058582248865,0.2824511133055335,42.9295994016517
1,0,0,1,0,0,0,0,0,0.98799998,0.6700405988098754,73.57262416354668
0,1,0,0,0,0,0,0,1,0.7223908587841038,0.5086957614278177,35.88584481156347
0,0,1,0,0,0,0,0,1,0.9609415257254748,0.7705745382212519,33.858299662248264
0,1,0,0,0,0,1,0,0,0.7441251748615505,0.3357182976695833,39.72613007239692
0,1,0,0,0,0,0,0,1,0.1411998405299839,0.229716799186347,67.00965094613461
1,0,1,0,0,1,0,1,0,0.7141496366042347,0.860099852798144,66.8792559513967
0,1,0,0,0,0,0,0,1,0.05329852439870632,0.09568967965567611,52.68154956543082
0,1,0,0,0,0,0,0,1,0.0692454905195646,0.12040314236471113,59.75173605787324
0,1,0,0,0,0,0,0,1,0.06926073226353897,0.0970864954035064,60.23886099303767
1,0,1,0,0,0,0,0,1,0.8590081639603512,0.8725262487999995,65.8176592740557
1,0,0,1,0,0,0,1,0,0.32323960069623764,0.9194441710417957,54.62970233335598
1,0,0,0,0,0,0,0,1,0.19745922145087855,0.08951883688057463,34.22822223054248
1,0,0,0,0,1,0,1,0,0.4333390337992707,0.9103125364118412,61.85992082331353
0,1,0,0,0,0,0,0,1,0.0821680537123522,0.10277012940417336,60.80459902932965
1,0,0,1,0,0,0,0,1,0.5834890916972304,0.6532220684080178,69.4057533791667
1,0,0,0,0,0,0,1,0,0.30979697287041613,0.8597136544301621,47.48976360317147
1,0,0,1,0,0,0,1,0,0.597650616756308,0.7628112984418345,71.36364507860183
0,0,0,0,0,0,0,0,1,0.08545772556070977,0.023721450819293378,37.846001027702854
0,0,0,0,0,0,0,0,0,0.011,0.5345830025383763,46.370214634234266
0,1,0,0,0,0,0,0,1,0.7440383823759572,0.5181114852200913,35.957049300493765
0,1,0,0,0,0,0,0,1,0.48049520825096154,0.4739434228078519,51.272587838509764
0,1,1,0,0,0,0,0,0,0.6011668982676808,0.33219169506958146,34.44326202459676
1,0,1,0,1,0,0,1,0,0.7480659085904448,0.4536074164384268,60.193919002311944
1,0,1,0,0,0,0,0,1,0.8603000366231746,0.8583802924271989,65.67770113246299
0,1,0,0,0,0,1,0,0,0.746789368865701,0.9474900857170779,35.42066312611258
1,0,0,1,0,0,0,1,0,0.31221317575714025,0.916392921625889,55.33848309819362
0,1,0,0,0,0,0,0,0,0.16310524819549183,0.12291729900561298,27.341603659121485
0,0,0,0,0,0,0,0,1,0.09608215293728621,0.014735734641018221,36.69803751815215
1,0,1,1,1,0,0,1,0,0.6308081538288426,0.7654970973135642,56.873303711947635
1,0,1,1,0,1,0,1,0,0.6111791051484355,0.6451050247491398,60.73141770535907
0,0,0,0,0,0,0,0,1,0.08703543758559415,0.035799714638919684,38.10252036612635
1,0,0,1,0,0,0,0,1,0.4141718266607174,0.6573866039627085,73.07915053321139
0,0,0,0,0,0,0,0,1,0.08994856454870359,0.028552178168084218,37.98172913702111
1,0,0,1,0,0,0,0,1,0.588869786392756,0.6562970669232627,69.15817292844332
0,0,0,1,0,0,0,0,1,0.3206624855848771,0.5106825562197406,22.82373753530196
1,0,0,1,0,0,0,0,1,0.5932621436677846,0.6526835185326517,69.33091433042391
0,1,0,0,0,0,0,0,1,0.07134930849988004,0.10590031358800348,52.86611121679503
1,0,0,0,0,0,0,1,0,0.43011795138279635,0.8993679637671464,58.414570761920075
1,0,0,1,0,0,0,0,0,0.03683850393869896,0.2802789435751921,81.36197557857643
0,0,0,0,0,0,0,0,0,0.014583859167032807,0.11876092014918163,32.26562151786573
0,1,0,0,0,0,0,0,0,0.20366500290988943,0.12630488679218993,41.2104398392466
1,0,1,0,1,0,0,1,0,0.737621388289374,0.45439032847954236,60.973954604306044
0,0,1,0,0,0,1,0,0,0.17771834888117852,0.28037891225924605,41.37127948454829
0,1,0,0,0,0,0,0,1,0.45283667816697054,0.45649522741890985,57.43311195734612
1,0,0,0,0,1,0,1,0,0.4295074112455501,0.91499811307957,61.7650162704334
0,1,0,0,0,0,0,0,1,0.8727082158617502,0.3290932138243854,47.13259116119203
1,0,0,0,0,1,0,0,1,0.8661514438226481,0.8695759062667962,48.7711929883104
0,1,0,0,0,0,0,0,0,0.16900832974873511,0.12861283521714592,26.82442335514927
0,0,0,0,0,0,0,0,0,0.011,0.12553907137535042,32.44423932221257
0,0,0,0,0,0,0,0,1,0.46156812677604475,0.46169542043515455,34.88926746758671
0,1,0,0,0,0,1,0,1,0.5640675988519855,0.05047371098920258,34.71724019780076
0,1,0,0,0,0,0,0,0,0.9056071362018412,0.5177227490614604,52.58846190842342
0,1,0,0,0,0,0,0,0,0.164351742407851,0.10662058872753317,27.311560655228885
1,0,0,0,0,1,0,1,0,0.42150015999159124,0.9159681172727274,61.83407027308889
0,1,0,0,0,0,0,0,1,0.31910807332806185,0.2540219065359331,46.95814335871479
1,0,0,0,0,0,0,1,0,0.4305313270225265,0.9315741631662988,55.958683034239364
1,0,1,0,1,0,0,1,0,0.5880446451977692,0.6479774262286022,72.53842432273987
1,0,1,0,0,0,0,0,1,0.8434826472410424,0.8392136642823613,65.89258402739965
1,0,0,0,1,0,0,1,0,0.6038960778732143,0.5152986629539351,38.48215686233563
1,0,0,1,0,0,0,0,1,0.5911365093013347,0.6450432250606738,69.62401673074152
1,0,0,1,0,0,0,1,0,0.6031277985520647,0.7673633051669821,70.16436682301111
0,1,0,0,0,0,0,0,1,0.06876401392702627,0.11526113594174664,59.99405869036803
1,0,0,0,0,1,0,0,1,0.8739021907501331,0.8456675899900131,49.3096661930773
1,0,1,0,0,0,0,0,1,0.8679918106641937,0.8667349879653017,66.33354601481773
0,1,0,0,0,0,0,0,1,0.8626297140358075,0.3119375060311551,46.55377239387709
0,1,0,0,0,0,0,0,1,0.8621164077838303,0.320594193950717,46.95401014405893
1,0,1,0,0,0,0,0,1,0.292779676666001,0.5168290875752092,54.73247428035372
0,1,0,0,0,0,1,0,1,0.571436527029691,0.052767004115980815,34.60362817924477
1,0,0,0,0,0,0,0,1,0.20749899792513563,0.49729034900408803,56.78872306547608
0,1,0,0,0,0,1,0,0,0.7283623809373347,0.039697173079398476,39.27905510500951
1,0,0,0,0,1,0,1,0,0.29190243846999,0.5205705597770016,76.65358175048925
1,0,0,0,1,0,0,1,0,0.5896297099907432,0.5106165481745261,67.28441025836106
0,1,1,0,0,0,0,0,0,0.5969747326492406,0.3082904192106204,33.98428627008766
0,0,0,1,0,0,0,0,1,0.30829650250082,0.517015982211919,22.797535297600625
1,0,1,1,0,1,0,1,0,0.6005559117018429,0.6368550949336592,58.50250778408866
0,1,0,0,0,0,0,0,1,0.9413253456637009,0.2226314684747392,54.64014229628249
1,0,0,0,0,0,0,0,1,0.2173709538759525,0.07343737517420186,34.99736088056163
1,0,0,0,0,0,0,1,0,0.3218493715745337,0.8501163064259127,47.12829066197198
0,1,0,0,0,0,0,0,1,0.9352989323802836,0.2162342130769029,62.48477159218137
0,1,0,0,0,0,0,0,1,0.7247278155911634,0.5094379888381093,43.057969552410356
1,0,0,0,0,0,0,0,1,0.17803848461556426,0.011,45.457436737070104
1,0,0,1,0,0,0,1,0,0.5910494604584365,0.7720167225435117,70.87652446078474
1,0,1,0,0,1,0,1,0,0.5492863817987598,0.9021987886015921,81.92477971375165
0,1,0,0,0,0,0,0,1,0.04686486038014616,0.3333527989973467,24.81572194890256
1,0,0,1,0,0,0,1,0,0.602756545239822,0.769396069397801,70.06760934382766
1,0,0,0,0,0,0,0,1,0.2333943874572696,0.07505568621396784,34.62060491511253
1,0,0,1,0,0,0,1,0,0.5987527163496043,0.7596208139067021,70.02552017134045
1,0,1,0,1,0,0,1,0,0.7493750747533903,0.4269606812248732,61.87420983145793
0,1,0,0,0,0,1,0,0,0.7300988620018999,0.036477518139046705,38.76068264758242
1,0,0,1,0,0,0,0,1,0.8142305444506761,0.647978361524466,71.00523006089584
0,1,0,0,0,0,0,0,1,0.4655896518586907,0.44478506358003644,50.95578688486834
1,0,0,0,0,0,0,1,0,0.42092372587836174,0.9134348242343189,58.5793478879998
0,1,0,0,0,0,1,0,1,0.8656602075551729,0.2713217451191614,43.44269790069656
1,0,0,1,0,0,0,0,1,0.40934828557021474,0.6644273374227307,74.49802406406812
1,0,0,1,0,0,0,0,0,0.0386853849294553,0.2644895866518891,81.65748573207985
0,1,0,0,0,0,1,0,0,0.040753081530917515,0.09171736375404403,38.56161947901153
0,1,0,0,0,0,1,0,0,0.10132707248259465,0.1254587336912266,38.03027606176771
0,0,0,1,0,0,0,0,1,0.3227615845526992,0.5225617929452728,23.310702652618723
0,1,0,0,0,0,0,0,0,0.23211274421768888,0.10965154239516244,41.2507275038678
1,0,0,0,1,0,0,1,0,0.6084646649407575,0.5056135881242539,38.689231072943
1,0,0,0,0,1,0,1,0,0.32449817495527217,0.5162513006494515,76.86574530323365
0,1,0,0,0,0,1,0,0,0.07713869000272737,0.09616935202784005,39.18531040314387
0,1,0,0,0,0,0,0,0,0.26431899299427425,0.2631396344312833,53.053169459306545
1,0,0,0,0,0,0,1,0,0.45768829627392116,0.32260768810834695,49.51477906407908
1,0,0,1,0,0,0,1,0,0.60500543584544,0.7802075903210595,70.2522202708959
1,0,0,0,0,0,0,0,1,0.2151808050126665,0.0772868760503287,35.014185133738465
1,0,1,0,0,0,0,1,0,0.9635987133141376,0.8608601544540396,64.35883136785509
1,0,0,0,0,0,0,0,1,0.14287292001328566,0.10266171739714015,55.765288724432295
1,0,1,1,1,0,0,1,0,0.5445687043315764,0.6689540800357583,77.02048800011694
0,1,0,0,0,0,0,0,1,0.3164896191635559,0.30808430953829485,43.75161228575402
1,0,0,0,0,0,0,0,1,0.12504120619491682,0.09285652592656286,54.746079448213564
0,1,0,0,0,0,0,0,1,0.06963850984941508,0.13152685266343783,59.532446794934884
1,0,0,0,0,0,0,0,1,0.12705074038991368,0.08002840619245344,54.911936865448794
0,1,0,0,0,0,0,0,1,0.9447808252944879,0.22875665001550727,63.41656440935529
0,1,0,0,0,0,0,0,1,0.07882737031123505,0.107322307331492,52.980110956403294
1,0,1,0,0,0,0,1,0,0.9788929155649146,0.860873240035757,64.83569094242877
1,0,0,0,0,0,0,0,1,0.2696111048577854,0.9739325039451883,38.06117687822242
1,0,0,0,0,1,0,1,0,0.4349718277968193,0.9098361742054701,62.3760419425019
1,0,1,1,1,0,0,1,0,0.5942943998680411,0.7586224041049988,57.441020086836
0,0,0,0,0,0,0,0,1,0.9052589302542693,0.3273554867256496,38.217091752135026
1,0,1,0,1,0,0,1,0,0.7399297204530036,0.4494836126306863,60.83058549984735
1,0,0,0,0,0,0,0,1,0.18130295163028123,0.011,46.38640985841083
1,0,0,0,1,0,0,1,0,0.6057845355034587,0.5115974573281661,39.02558141099274
1,0,1,0,0,0,0,1,0,0.9724751842154593,0.8648673353524895,64.21978731143149
1,0,0,0,0,0,0,0,1,0.2241387762630207,0.07272023912508863,34.354341045043384
0,1,0,0,0,0,1,0,1,0.9161225465671015,0.45930338459581044,47.091854123305325
0,1,0,0,0,0,0,0,1,0.9434402286728513,0.22698212622747824,55.64654542182509
0,1,0,0,0,0,1,0,1,0.09000029619619744,0.5331870802908221,28.10523991331897
0,1,0,0,0,0,0,0,1,0.15383223553920372,0.21679498497931565,67.61157588981138
0,1,0,0,0,0,1,0,1,0.5792854280047031,0.8330964133586967,40.401016417980145
0,0,0,1,1,0,0,1,0,0.46822898511280153,0.7735528509193276,46.272262595795894
0,1,0,0,0,0,0,0,1,0.09623188936417978,0.040980092173849555,43.07132929451892
1,0,0,0,0,0,0,1,0,0.2984655293081193,0.8554402034171592,47.510729685004755
0,1,0,0,0,0,0,0,0,0.16580989404474084,0.11256440298254157,28.349966130284812
1,0,0,0,1,0,0,1,0,0.6080271117147016,0.5156112885367753,67.57388892604351
1,0,1,1,1,0,0,1,0,0.5361969050578861,0.6439476659209618,76.49485897796497
0,1,0,0,0,0,1,0,1,0.8419946294615487,0.32150157750921676,55.36543886047913
0,1,0,0,0,0,0,0,1,0.9525581448209242,0.22076347504858504,54.22480748003133
1,0,1,0,0,0,0,0,1,0.8559180452244207,0.8684870157942901,65.38283590248784
1,0,1,0,1,0,0,1,0,0.6229151595976248,0.6458478635099132,73.53102764494488
0,1,0,0,0,0,1,0,1,0.0929838113281204,0.4952998893791051,27.851441181251488
1,0,0,1,0,0,0,0,1,0.40944107598317975,0.6346675147363333,73.07125770568622
0,1,0,0,0,0,0,0,1,0.7456355550417115,0.5002677470247872,36.59228240588533
0,1,0,0,0,0,1,0,1,0.6051049592105053,0.8258097005933255,41.85364999861035
0,0,0,0,0,0,0,0,1,0.8975469660363967,0.32368245667765405,38.237832061852735
0,1,0,0,0,0,1,0,0,0.7310746269626311,0.9548687913380324,35.09103850390253
1,0,0,1,0,0,0,0,1,0.40569967445913047,0.6450114129633799,73.32990377731448
0,0,0,1,0,0,0,0,1,0.3014907326445696,0.5044035182988529,23.064941776447984
1,0,1,1,1,0,0,1,0,0.5438424948457575,0.6472461817121394,76.23724930467402
1,0,1,0,0,0,0,0,1,0.29574087143114675,0.5222698524285558,54.605754484213726
0,1,0,0,0,0,0,0,1,0.07679537179752176,0.1216408623468781,59.592779416695805
0,0,0,0,0,0,0,0,0,0.011291891851405916,0.5111374286632482,45.66244212442186
0,1,0,0,0,0,0,0,1,0.1246151024256418,0.03007131364374052,42.402728929953064
0,1,0,0,0,0,1,0,1,0.8471045273576309,0.3213081481998279,55.4503256812231
0,1,0,0,0,0,0,0,1,0.1288816519063202,0.03679293115510832,43.191870731551184
1,0,0,0,0,1,0,1,0,0.31820176086502894,0.5159780437964382,77.51495274398307
1,0,1,0,0,0,0,0,1,0.8515691503551979,0.852265643265717,65.42300148743443
0,1,0,0,0,0,0,0,1,0.03721599307624769,0.3253108649454123,24.654924752414534
0,0,0,0,0,0,1,0,1,0.7413160663172669,0.051687318701762436,29.840917531841214
0,0,0,0,0,0,0,0,1,0.9025226650209959,0.3268041333075849,37.89957237975354
0,1,0,0,0,0,1,0,0,0.7200513547037898,0.04049474422780247,39.78718922068436
0,1,0,0,0,0,1,0,1,0.6077427697318475,0.8346133730560188,41.60570202442349
0,1,0,0,0,0,0,0,1,0.07290772833105785,0.1314797432579666,52.96962362850176
0,1,0,0,0,0,1,0,0,0.7190910296812237,0.0264904274413255,39.34837455144435
1,0,0,0,0,0,0,1,0,0.4319352950536771,0.9198529234519566,59.0792283536378
0,1,0,0,0,0,0,0,1,0.31920337296512336,0.25469471531012255,46.57302249606118
1,0,0,0,0,1,0,0,1,0.8751572882100358,0.847145291916957,49.17045501167937
0,1,0,0,0,0,1,0,1,0.6093296509170755,0.8360258005260048,40.99255768458776
1,0,1,0,1,0,0,1,0,0.720157386368659,0.44191271780434666,60.30747253057501
0,1,0,0,0,0,0,0,0,0.2227917564710409,0.1232259777421737,41.58260724557176
1,0,0,1,0,0,0,0,0,0.7174479508669529,0.6627405574431801,84.18029
0,1,0,0,0,0,0,0,1,0.5769284622707039,0.11598082428322506,36.95004024217368
1,0,0,0,0,0,0,1,0,0.43734165487092636,0.9249477894727623,59.36050358163491
1,0,0,0,1,0,0,1,0,0.6164751157649243,0.5050197924342661,67.14914074320183
0,1,0,0,0,0,0,0,1,0.06113243676263429,0.3315271672896499,24.39118010491464
0,1,0,0,0,0,1,0,0,0.10408815347665189,0.10950660178535614,38.708963163807425
1,0,1,0,0,0,0,0,1,0.3010745702071535,0.5202941638069399,55.328199693807925
1,0,0,1,0,0,0,1,0,0.3159745801901439,0.9368382099246457,54.22858083703051
1,0,0,0,0,0,0,1,0,0.3194668269747182,0.8589596581385924,48.2736972858632
0,1,0,0,0,0,0,0,1,0.0700219263642739,0.09731598903195889,59.75616924028333
1,0,0,1,0,0,0,1,0,0.4661027718609746,0.7623295536037956,50.06248275008018
0,0,0,1,0,0,0,0,1,0.319946936168757,0.5214975453239347,22.867840577878585
1,0,0,0,0,1,0,1,0,0.4295000624614144,0.9227130873104248,62.39559382083683
0,1,0,0,0,0,1,0,1,0.8418497043227529,0.32712113579584745,55.746891458480825
0,0,0,0,0,0,1,0,1,0.728504619888079,0.07759548114767346,29.823631579940912
0,1,0,0,0,0,1,0,1,0.853345937832578,0.32912831557729083,56.33650441491511
1,0,1,0,1,0,0,1,0,0.7320252332822759,0.45137699492813865,61.42812946427096
1,0,1,0,0,1,0,1,0,0.5488690882060691,0.9138349943714424,81.50796270160689
0,1,0,0,0,0,0,0,1,0.7376509602291242,0.5239673250347572,42.132517169738314
0,0,0,0,0,0,0,0,1,0.08983885655022558,0.02605752200360048,37.92845131516143
0,0,0,1,1,0,0,1,0,0.4713776574311675,0.7747142918752671,45.92885206945412
1,0,0,1,0,0,0,1,0,0.3161948782144618,0.9153827614015202,55.03824908565288
0,1,0,0,0,0,0,0,1,0.14058645746056914,0.21487458267207413,67.19630785112605
1,0,0,0,0,0,0,0,1,0.13916336952855093,0.10754441831246388,55.48799493768311
0,1,0,0,0,0,1,0,0,0.0887770781110864,0.11784241296042311,39.31335139718154
1,0,0,0,0,1,0,1,0,0.2990420967813359,0.5178588621081939,77.52462321593653
0,0,0,1,1,0,0,1,0,0.4561868469890256,0.7680544847329193,46.3716167198168
0,1,0,0,0,0,0,0,1,0.18838923362762,0.9710019495735311,22.445341
0,1,0,0,0,0,0,0,0,0.16243999254404506,0.11609359197951181,27.965930983752457
1,0,1,0,1,0,0,1,0,0.72969053022777,0.45323699781369814,61.22528765486338
1,0,0,0,0,0,0,1,0,0.42715940951355785,0.922731522011015,56.349646575822526
1,0,0,0,1,0,0,1,0,0.609226094221312,0.496415465064729,67.60521195053484
0,1,0,0,0,0,1,0,0,0.04886626629620809,0.10216576966233953,39.226794301747944
0,0,1,0,0,0,0,0,1,0.9676652922417687,0.7821880410863701,33.5963230678393
1,0,1,0,0,1,0,1,0,0.7354561907976864,0.8581781155069215,66.37641318660125
1,0,0,0,0,0,0,0,1,0.17919603017962007,0.011,45.059865050046604
0,0,0,1,1,0,0,1,0,0.4472230255340863,0.7831318533189586,45.90718684134154
0,1,0,0,0,0,0,0,1,0.7289265778060448,0.5168150660821266,35.59427531308426
1,0,0,0,0,0,0,1,0,0.4116136738896965,0.917403357389116,58.95359503303748
1,0,0,1,0,0,0,0,1,0.5933040936939588,0.6478349411389522,69.76231577889112
0,1,0,0,0,0,1,0,1,0.09296093081787221,0.5202233661778779,28.053308428396306
0,1,1,0,0,0,0,0,0,0.6128172432213099,0.3203814162582343,34.603864135262334
1,0,1,0,0,0,0,0,1,0.8700156710944918,0.8697850088927153,65.17902935598813
0,0,0,0,0,0,1,0,1,0.7337100500775476,0.07362037734835293,29.501110219254656
1,0,0,0,1,0,0,1,0,0.599780281679422,0.5130850651071618,39.23274115889669
1,0,0,0,0,1,0,1,0,0.4340915126621545,0.9192400011126036,62.545561838626135
0,1,0,0,0,0,0,0,1,0.46054791931452027,0.46350898979622046,51.09446788368308
1,0,1,0,0,0,0,0,1,0.8599882653713796,0.8689105522795602,65.78722772119167
1,0,0,0,0,0,0,0,1,0.27531636009182564,0.9686258917515395,38.85210046268261
